Modality,Operator,PSNR,FOM
mri,Roberts,12.311356041318025,0.9224186203402703
mri,Frei-Chen,12.34845073391978,0.9285144030728149
mri,Sobel,12.49008396904028,0.9286662235501635
mri,Prewitt,12.486750481728402,0.9273761753373971
mri,Kirsch,12.454393682908007,0.9284096301078086
mri,LoG,12.79828174051376,0.8278980347504115
mri,Roberts,12.474080911142364,0.9209967757787818
mri,Frei-Chen,12.48701729692916,0.9279954061724672
mri,Sobel,12.294911139787608,0.9287085907802751
mri,Prewitt,12.291862168723707,0.927801881040176
mri,Kirsch,12.261456797757136,0.9281694540319677
mri,LoG,12.612591708828806,0.8299470000191436
mri,Roberts,12.291143128723988,0.9224574581093608
mri,Frei-Chen,12.292801842493395,0.9280815644040924
mri,Sobel,13.216938455393933,0.9274742319589164
mri,Prewitt,13.214682025968985,0.9266363666896223
mri,Kirsch,13.16796588660296,0.9274323290977167
mri,LoG,13.57405821562612,0.8314109075766939
mri,Roberts,13.235035095919043,0.9210620793469106
mri,Frei-Chen,13.214922703648394,0.9270136536682686
mri,Sobel,13.074212552257439,0.9273832463627274
mri,Prewitt,13.071657448522478,0.9268854403556096
mri,Kirsch,13.02975297907639,0.9274831468498184
mri,LoG,13.406418722375609,0.827687872608457
mri,Roberts,13.069621240296176,0.920485896366843
mri,Frei-Chen,13.072032982030093,0.9272082418822014
mri,Sobel,13.098354724117387,0.926166517194868
mri,Prewitt,13.10044705779994,0.9253404459202825
mri,Kirsch,13.051500307658879,0.9259970652288332
mri,LoG,13.387181883908983,0.8290539542108971
mri,Roberts,13.121071930844117,0.9193480580742036
mri,Frei-Chen,13.098371999927727,0.925641624149234
mri,Sobel,13.029982258303004,0.9260335850109934
mri,Prewitt,13.031794837927965,0.9250420074262188
mri,Kirsch,12.989904818177385,0.9256118315567212
mri,LoG,13.303685770960325,0.8273900870208565
mri,Roberts,13.09512456191519,0.919199634645419
mri,Frei-Chen,13.028697132113734,0.925373469448901
mri,Sobel,12.789343561763022,0.9255998227116182
mri,Prewitt,12.792530004992159,0.9243551830168972
mri,Kirsch,12.738945350817438,0.9251028831846763
mri,LoG,13.057369665691368,0.8248154234994699
mri,Roberts,12.799407296724716,0.9192152052385794
mri,Frei-Chen,12.789933716933623,0.924780603655444
mri,Sobel,13.032705973263363,0.929193490269359
mri,Prewitt,13.030091006224575,0.9280451625084507
mri,Kirsch,12.98801198392497,0.9289239459366866
mri,LoG,13.290264621363994,0.8326569256040167
mri,Roberts,13.001756294859755,0.9207966346532269
mri,Frei-Chen,13.029998677364983,0.9285849254195407
mri,Sobel,13.042788943789096,0.928307925827741
mri,Prewitt,13.043708193085042,0.9274862968199015
mri,Kirsch,12.995814311495483,0.9284335936805761
mri,LoG,13.280624751801064,0.8289804773988775
